StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q11,Q10,Q12,Q13,Q14,Q1_1,Q2_1,Q3_1,Q4_1,Q5_1,Q6_1,UniqueID,PostQ1,PostQ2,PostQ3,PostQ4,PostQ5,PostQ6
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Do you consent?,Gender identity,Years as a nurse:,Charge Nurse Trained?,"Are you part of the Nursing Leadership Team (i.e., CNS, NES, Nurse Manager, Nurse Supervisor)?",Level of education:,Statement 1 - Overall the way we receive feedback for medication errors works well.,Statement 2 - I have been informed of what medication safety events have been trending in the last month on my nursing unit from nursing leadership.,Statement 3 - I have received feedback or heard of others receiving feedback from my nursing leadership team for medication safety events in the last month.,Statement 4 - Feedback on medication safety events is important because it helps stop errors from happening in the future.,Statement 5 - I know what a just culture is regarding medication safety events.,Statement 6 - There is a culture of safety on the nursing unit regarding medication errors.,UniqueID,,,,,,
"{""ImportId"":""startDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""endDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID9""}","{""ImportId"":""QID12""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID7_1""}","{""ImportId"":""UniqueID""}",,,,,,
9/12/23 21:47,9/12/23 21:48,Survey Preview,,100,31,TRUE,9/12/23 21:48,R_24MdRddb3vOAWLm,,,,,43.6376,-94.451,preview,EN,"Yes, I consent",,,,,,,,,,,,,,,,,,
9/15/23 5:36,9/15/23 5:40,IP Address,129.176.197.15,100,220,TRUE,9/15/23 5:40,R_5oQpw5PYyxgcpcR,,,,,44.0484,-92.4948,anonymous,EN,"Yes, I consent",Male,4.5,No,No,BSN,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,223,3,4,4,5,4,5
9/15/23 10:50,9/15/23 10:51,IP Address,35.148.92.13,100,71,TRUE,9/15/23 10:51,R_3GBXdbciAqw8czG,,,,,44.0484,-92.4948,anonymous,EN,"Yes, I consent",Male,1,No,No,BSN,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,118,3,4,4,5,3,4
9/15/23 11:37,9/15/23 11:38,IP Address,129.176.197.15,100,77,TRUE,9/15/23 11:38,R_2E4DnJ7Gj9QrgUW,,,,,44.0484,-92.4948,anonymous,EN,"Yes, I consent",Male,17,Yes,No,RN,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,80,3,3,3,4,3,4
9/15/23 12:29,9/15/23 12:29,IP Address,152.117.115.197,100,48,TRUE,9/15/23 12:29,R_1JQKy0xdACWiBF2,,,,,44.0484,-92.4948,anonymous,EN,"Yes, I consent",Female,3,No,No,BSN,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,37,4,4,4,4,5,5
9/19/23 1:39,9/19/23 1:40,IP Address,129.176.197.15,100,59,TRUE,9/19/23 1:40,R_2SJlNBEJQNY5asO,,,,,44.0484,-92.4948,anonymous,EN,"Yes, I consent",Male,5,No,No,BSN,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,60,4,5,5,5,4,5
9/19/23 11:10,9/19/23 11:11,IP Address,129.176.197.83,100,56,TRUE,9/19/23 11:11,R_2qeewNUQrPF20Ry,,,,,44.0015,-92.4836,anonymous,EN,"Yes, I consent",Female,4,No,No,BSN,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,125,3,4,4,5,5,4
9/27/23 15:31,9/27/23 15:33,IP Address,129.176.197.15,100,84,TRUE,9/27/23 15:33,R_Q01ADL2bBoErBLz,,,,,44.0484,-92.4948,anonymous,EN,"Yes, I consent",Female,28,Yes,No,BSN,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,49,2,5,2,4,5,4
10/3/23 21:16,10/3/23 21:17,IP Address,207.138.221.71,100,51,TRUE,10/3/23 21:17,R_07KwhcfMKCeclAR,,,,,44.0286,-91.6957,anonymous,EN,"Yes, I consent",Female,5,Yes,No,BSN,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,207,3,4,4,5,5,4
10/5/23 18:11,10/5/23 18:13,IP Address,129.176.197.83,100,101,TRUE,10/5/23 18:13,R_32WOt1d3JS1IM1K,,,,,44.0015,-92.4836,anonymous,EN,"Yes, I consent",Female,13,No,No,BSN,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,57,4,5,5,5,5,5